solver,shrinkage,mean_accuracy,mean_precision,mean_recall,f1_score,total_time,selection_score
svd,,0.917079421818876,0.9188894059922547,0.917079421818876,0.9179835217219242,1.0685644149780273,0.6311039414990293
lsqr,,0.917079421818876,0.9188894059922547,0.917079421818876,0.9179835217219242,0.753669261932373,0.6312787947220319
eigen,,0.917079421818876,0.9188894059922547,0.917079421818876,0.9179835217219242,0.870746374130249,0.6312137812243473
lsqr,,0.9160036324304315,0.9176819891164962,0.9160036324304315,0.9168420426807405,0.8570389747619629,0.6232189332509501
eigen,,0.9160036324304315,0.9176819891164962,0.9160036324304315,0.9168420426807405,1.0713129043579102,0.6230999559265503
lsqr,,0.9172942442173211,0.9190676125515311,0.9172942442173211,0.9181800721165732,0.6414978504180908,0.6327118771910437
eigen,,0.9172942442173211,0.9190676125515311,0.9172942442173211,0.9181800721165732,0.7628848552703857,0.6326444662686691
lsqr,,0.908690011394726,0.9107614406027459,0.908690011394726,0.9097245468469211,0.6656348705291748,0.57205145169893
eigen,,0.908690011394726,0.9107614406027459,0.908690011394726,0.9097245468469211,0.7881519794464111,0.5719834141195497
lsqr,,0.8749193982196463,0.8796264350460848,0.8749193982196463,0.8772666026924527,0.6505231857299805,0.3354533050569738
eigen,,0.8749193982196463,0.8796264350460848,0.8749193982196463,0.8772666026924527,0.8349084854125977,0.3353509110378561
