n_estimators,max_depth,min_samples_split,mean_accuracy,mean_precision,mean_recall,f1_score,total_time,selection_score
50,NA,2,0.9602064932586025,0.9605761935595494,0.9602064932586025,0.9603913078302692,2.394951105117798,0.8582423015532078
100,NA,2,0.9645088410348958,0.9648760117719574,0.9645088410348958,0.9646923914662937,3.8564233779907227,0.8722967391458691
200,NA,2,0.9648312481563103,0.965200362626559,0.9648312481563103,0.9650157700952531,8.590625047683716,0.870737020844553
50,NA,5,0.9607445325559472,0.961146735980288,0.9607445325559472,0.9609455921825957,2.7227509021759033,0.8600556704872356
100,NA,5,0.963970917420049,0.964354583696899,0.963970917420049,0.9641627123906927,4.599709749221802,0.8701296498595801
200,NA,5,0.9653691139299079,0.9658230804596016,0.9653691139299079,0.9655960438376598,8.023100852966309,0.8729360041076292
50,NA,10,0.9573021684684215,0.9577819792294742,0.9573021684684215,0.9575420137423549,2.472104072570801,0.8475610122376948
100,NA,10,0.9612816463933088,0.9616476039145458,0.9612816463933088,0.9614645903307772,4.242689371109009,0.8610594742107573
200,NA,10,0.9625724895451941,0.9630442428893623,0.9625724895451941,0.962808308430281,8.539804935455322,0.863365342954931
50,10,2,0.9568725815127801,0.9572431581383058,0.9568725815127801,0.957057833953356,2.352137804031372,0.8457552989124858
100,10,2,0.9600990242181309,0.9604912210779712,0.9600990242181309,0.9602950826034925,4.319025278091431,0.8568265465808464
200,10,2,0.9623573200992557,0.9627171133009822,0.9623573200992557,0.9625371830777442,7.365682363510132,0.8630806216695549
50,10,5,0.9545061803374459,0.9549335393405192,0.9545061803374459,0.9547198120145565,1.9716405868530273,0.8366570093796821
100,10,5,0.958378594110604,0.9587642817167856,0.958378594110604,0.9585713991177002,4.34076189994812,0.8504427221358659
200,10,5,0.9598839704546901,0.9602775220818925,0.9598839704546901,0.9600807059375993,7.244981527328491,0.8544265077007074
50,10,10,0.9541836575335335,0.9545798747322101,0.9541836575335335,0.9543817250098973,2.8339080810546875,0.834795262297133
100,10,10,0.9563347157391823,0.9567966744799202,0.9563347157391823,0.9565656393355779,3.5577003955841064,0.8431639295092493
200,10,10,0.9573023419921685,0.9576704347147654,0.9573023419921685,0.9574863529763967,7.718958139419556,0.8444400603340707
50,20,2,0.9603141358228207,0.9605986763410851,0.9603141358228207,0.9604563850077775,2.6398086547851563,0.8583419544132459
100,20,2,0.9640786178255161,0.9644534649924683,0.9640786178255161,0.9642660049796271,8.962064266204834,0.8680591340836444
200,20,2,0.9648313059975591,0.9651732259356315,0.9648313059975591,0.9650022356792974,27.94769811630249,0.8600473706831948
50,20,5,0.9600993134243755,0.9605209747064821,0.9600993134243755,0.9603100977787583,7.2128002643585205,0.8552785128546196
100,20,5,0.9644010249469307,0.9647867871545648,0.9644010249469307,0.9645938674820609,13.770263671875,0.8664910560817874
200,20,5,0.9647239526395854,0.9651901271672676,0.9647239526395854,0.9649569836007412,26.69326686859131,0.8605856827792929
50,20,10,0.9567644183773216,0.9572245060606852,0.9567644183773216,0.9569944069207011,7.217027425765991,0.8428130869988923
100,20,10,0.9609588922244008,0.9613438726982759,0.9609588922244008,0.9611513439112286,11.683622598648071,0.8558318388885606
200,20,10,0.9623574357817535,0.9628031385707814,0.9623574357817535,0.962580235582915,7.40108323097229,0.8632097415104101
50,30,2,0.9602064932586025,0.9605761935595494,0.9602064932586025,0.9603913078302692,2.34541654586792,0.8582697845402157
100,30,2,0.9645088410348958,0.9648760117719574,0.9645088410348958,0.9646923914662937,4.140037298202515,0.8721395254540212
200,30,2,0.9648312481563103,0.965200362626559,0.9648312481563103,0.9650157700952531,8.694544076919556,0.8706795645864172
50,30,5,0.9607445325559472,0.961146735980288,0.9607445325559472,0.9609455921825957,2.5253355503082275,0.8601651859145595
100,30,5,0.963970917420049,0.964354583696899,0.963970917420049,0.9641627123906927,4.327239751815796,0.8702806471865749
200,30,5,0.9653691139299079,0.9658230804596016,0.9653691139299079,0.9655960438376598,8.153164863586426,0.8728640702792004
50,30,10,0.9573021684684215,0.9577819792294742,0.9573021684684215,0.9575420137423549,2.483067512512207,0.8475549298155599
100,30,10,0.9612816463933088,0.9616476039145458,0.9612816463933088,0.9614645903307772,4.178323984146118,0.8610951492114892
200,30,10,0.9625724895451941,0.9630442428893623,0.9625724895451941,0.962808308430281,8.306641101837158,0.863494273664187
