C,mean_accuracy,mean_precision,mean_recall,f1_score,total_time,selection_score
0.01,0.9366524955606842,0.9368413524371061,0.9366524955606842,0.9367469144800702,1.5076353549957275,0.7498736899386959
0.1,0.942029938630435,0.9421488184092375,0.942029938630435,0.9420893747695547,2.631925582885742,0.7780262111051582
1,0.9349311978344236,0.9349670448532805,0.9349311978344236,0.9349491210002481,5.136464834213257,0.7376321625955065
10,0.9225632349453688,0.9228597728759528,0.9225632349453688,0.9227114800855692,12.410131454467773,0.6571678832312953
100,0.9152501923221527,0.9158108784863822,0.9152501923221527,0.9155304495608787,31.293640851974487,0.5971809758774231
